,date_time,id,number
98,2017/1/1 0:00,960111FF01FF1009,76.639999
120,2017/1/1 0:02,960111FF01FF1009,72.32
144,2017/1/1 0:03,960111FF01FF1009,78.480003
177,2017/1/1 0:05,960111FF01FF1009,70.08000200000001
185,2017/1/1 0:06,960111FF01FF1009,75.959999
245,2017/1/1 0:08,960111FF01FF1009,68.559998
276,2017/1/1 0:11,960111FF01FF1009,64.480003
308,2017/1/1 0:13,960111FF01FF1009,70.199997
332,2017/1/1 0:14,960111FF01FF1009,78.68
383,2017/1/1 0:17,960111FF01FF1009,73.480003
413,2017/1/1 0:19,960111FF01FF1009,69.68
457,2017/1/1 0:21,960111FF01FF1009,75.68
469,2017/1/1 0:22,960111FF01FF1009,79.959999
542,2017/1/1 0:26,960111FF01FF1009,73.639999
557,2017/1/1 0:27,960111FF01FF1009,69.720001
640,2017/1/1 0:30,960111FF01FF1009,75.760002
657,2017/1/1 0:31,960111FF01FF1009,79.879997
714,2017/1/1 0:35,960111FF01FF1009,68.800003
808,2017/1/1 0:40,960111FF01FF1009,76.720001
821,2017/1/1 0:40,960111FF01FF1009,83.760002
909,2017/1/1 0:44,960111FF01FF1009,77.839996
924,2017/1/1 0:45,960111FF01FF1009,71.0
937,2017/1/1 0:45,960111FF01FF1009,66.800003
957,2017/1/1 0:46,960111FF01FF1009,63.119999
996,2017/1/1 0:49,960111FF01FF1009,71.959999
1077,2017/1/1 0:54,960111FF01FF1009,66.160004
1265,2017/1/1 1:01,960111FF01FF1009,74.239998
1286,2017/1/1 1:02,960111FF01FF1009,78.08000200000001
1306,2017/1/1 1:03,960111FF01FF1009,70.08000200000001
1337,2017/1/1 1:06,960111FF01FF1009,66.879997
1411,2017/1/1 1:10,960111FF01FF1009,73.160004
1438,2017/1/1 1:12,960111FF01FF1009,66.480003
1489,2017/1/1 1:16,960111FF01FF1009,72.400002
1551,2017/1/1 1:20,960111FF01FF1009,77.120003
1568,2017/1/1 1:21,960111FF01FF1009,69.32
1599,2017/1/1 1:23,960111FF01FF1009,75.760002
1692,2017/1/1 1:28,960111FF01FF1009,69.32
1705,2017/1/1 1:28,960111FF01FF1009,74.91999799999999
1733,2017/1/1 1:30,960111FF01FF1009,66.519997
1785,2017/1/1 1:34,960111FF01FF1009,72.839996
1816,2017/1/1 1:36,960111FF01FF1009,69.040001
1925,2017/1/1 1:43,960111FF01FF1009,73.720001
1963,2017/1/1 1:45,960111FF01FF1009,79.239998
1982,2017/1/1 1:46,960111FF01FF1009,74.599998
2005,2017/1/1 1:48,960111FF01FF1009,68.400002
2018,2017/1/1 1:49,960111FF01FF1009,71.839996
2031,2017/1/1 1:50,960111FF01FF1009,66.839996
2062,2017/1/1 1:52,960111FF01FF1009,72.239998
2093,2017/1/1 1:54,960111FF01FF1009,69.0
2122,2017/1/1 1:56,960111FF01FF1009,72.120003
2129,2017/1/1 1:57,960111FF01FF1009,66.040001
2138,2017/1/1 1:57,960111FF01FF1009,69.879997
2263,2017/1/1 2:01,960111FF01FF1009,75.760002
2288,2017/1/1 2:03,960111FF01FF1009,72.32
2325,2017/1/1 2:05,960111FF01FF1009,77.519997
2336,2017/1/1 2:06,960111FF01FF1009,70.959999
2350,2017/1/1 2:07,960111FF01FF1009,77.199997
2393,2017/1/1 2:08,960111FF01FF1009,83.239998
2422,2017/1/1 2:10,960111FF01FF1009,89.91999799999999
2435,2017/1/1 2:10,960111FF01FF1009,85.879997
2448,2017/1/1 2:11,960111FF01FF1009,79.480003
2459,2017/1/1 2:12,960111FF01FF1009,74.519997
2513,2017/1/1 2:15,960111FF01FF1009,68.800003
2536,2017/1/1 2:17,960111FF01FF1009,72.040001
2575,2017/1/1 2:19,960111FF01FF1009,78.879997
2621,2017/1/1 2:21,960111FF01FF1009,70.120003
2659,2017/1/1 2:24,960111FF01FF1009,64.360001
2692,2017/1/1 2:25,960111FF01FF1009,67.519997
2730,2017/1/1 2:28,960111FF01FF1009,73.559998
2798,2017/1/1 2:30,960111FF01FF1009,70.0
2857,2017/1/1 2:34,960111FF01FF1009,73.440002
2917,2017/1/1 2:37,960111FF01FF1009,80.959999
2950,2017/1/1 2:38,960111FF01FF1009,76.32
2960,2017/1/1 2:39,960111FF01FF1009,72.08000200000001
3006,2017/1/1 2:42,960111FF01FF1009,76.639999
3018,2017/1/1 2:42,960111FF01FF1009,69.879997
3108,2017/1/1 2:46,960111FF01FF1009,73.040001
3127,2017/1/1 2:48,960111FF01FF1009,70.040001
3178,2017/1/1 2:51,960111FF01FF1009,75.440002
3185,2017/1/1 2:51,960111FF01FF1009,72.040001
3251,2017/1/1 2:55,960111FF01FF1009,78.0
3261,2017/1/1 2:56,960111FF01FF1009,74.0
3389,2017/1/1 3:00,960111FF01FF1009,78.199997
3415,2017/1/1 3:00,960111FF01FF1009,72.160004
3476,2017/1/1 3:04,960111FF01FF1009,78.440002
3487,2017/1/1 3:05,960111FF01FF1009,74.360001
3577,2017/1/1 3:09,960111FF01FF1009,68.440002
3586,2017/1/1 3:10,960111FF01FF1009,72.400002
3621,2017/1/1 3:13,960111FF01FF1009,78.040001
3640,2017/1/1 3:14,960111FF01FF1009,71.559998
3664,2017/1/1 3:15,960111FF01FF1009,68.559998
3674,2017/1/1 3:16,960111FF01FF1009,71.559998
3747,2017/1/1 3:20,960111FF01FF1009,75.720001
3777,2017/1/1 3:22,960111FF01FF1009,81.199997
3801,2017/1/1 3:23,960111FF01FF1009,76.32
3829,2017/1/1 3:25,960111FF01FF1009,71.879997
3841,2017/1/1 3:25,960111FF01FF1009,68.68
3956,2017/1/1 3:31,960111FF01FF1009,72.199997
3984,2017/1/1 3:33,960111FF01FF1009,68.559998
4016,2017/1/1 3:35,960111FF01FF1009,74.91999799999999
4029,2017/1/1 3:36,960111FF01FF1009,67.08000200000001
4109,2017/1/1 3:40,960111FF01FF1009,72.160004
4126,2017/1/1 3:41,960111FF01FF1009,76.559998
4158,2017/1/1 3:43,960111FF01FF1009,72.91999799999999
4205,2017/1/1 3:45,960111FF01FF1009,66.879997
4266,2017/1/1 3:49,960111FF01FF1009,73.279999
4300,2017/1/1 3:51,960111FF01FF1009,69.480003
4366,2017/1/1 3:55,960111FF01FF1009,74.839996
4420,2017/1/1 3:59,960111FF01FF1009,81.480003
4433,2017/1/1 3:59,960111FF01FF1009,77.120003
4566,2017/1/1 4:03,960111FF01FF1009,82.68
4591,2017/1/1 4:04,960111FF01FF1009,75.32
4599,2017/1/1 4:05,960111FF01FF1009,71.720001
4665,2017/1/1 4:08,960111FF01FF1009,67.879997
4675,2017/1/1 4:08,960111FF01FF1009,73.800003
4730,2017/1/1 4:13,960111FF01FF1009,78.480003
